"","n","nevent","coef","se","hazard_ratio","hr_confint_lower","hr_confint_upper","p_value","p_adjusted"
"Unidentified_M1_contact",77,61,0.346201,0.1352878,1.4136867135239,1.08441624735129,1.84293635296908,0.0104974693788232,0.800660778884354
"Neuroepithelial_cells_tumor_contact",77,61,0.3332736,0.1370791,1.39552900836063,1.06673587837667,1.82566392736286,0.0150468499458475,0.800660778884354
"CD11b+_epithelial_vascular_contact",77,61,0.2242717,0.1027977,1.25141095955116,1.02305367252271,1.53074020625247,0.0291331137376208,0.800660778884354
"B_cells_vascular_med_dist",60,49,0.2992238,0.1382703,1.34881141289635,1.02862080055579,1.76867143516486,0.030460604997823,0.800660778884354
"CD8+_T_cells_assort",77,61,0.2942399,0.1388294,1.34210583159538,1.02238616321218,1.76180794304089,0.0340537182637806,0.800660778884354
"Dendritic_cells_vascular_contact",77,61,0.2577112,0.1236029,1.29396501854712,1.01557402463144,1.64866905672512,0.0370698996947315,0.800660778884354
"B_cells_M1_contact",77,61,-0.3094555,0.1498819,0.733846398837813,0.547048021230517,0.984430097884036,0.0389549626410706,0.800660778884354
"Non-leukocyte_derived_neural_cells_M1_contact",77,61,0.2433611,0.1194969,1.27552917426755,1.00919351310568,1.61215332171611,0.0416953939467141,0.800660778884354
"CD163+_cells_tumor_med_dist",76,60,0.2304182,0.1133964,1.25912641006063,1.00819863137293,1.57250691200924,0.0421567119217391,0.800660778884354
"Neutrophils_M1_contact",77,61,-0.5812034,0.2870952,0.559224990786427,0.318574282146624,0.981663015020602,0.0429261749408281,0.800660778884354
"CD11c+_epithelial_prop",77,61,-0.2831928,0.1410311,0.753374542706788,0.571432656281876,0.993246002585279,0.0446415307663912,0.800660778884354
"CD11c+_epithelial_M1_med_dist",70,54,0.2345181,0.1259581,1.26429939539915,0.987720817233625,1.61832466555027,0.0626208161954373,0.800660778884354
"B_cells_vascular_contact",77,61,-0.3532143,0.1918323,0.702426633946209,0.482295320455559,1.02303123242197,0.0655825213517017,0.800660778884354
"Monocytes_vascular_med_dist",60,49,0.272911,0.1500578,1.31378336961764,0.979026192093287,1.76300364201023,0.0689563135882633,0.800660778884354
"Vascular_endothelial_cells_tumor_med_dist",76,60,0.2047011,0.1140573,1.22715820279925,0.981329331879461,1.53456867717724,0.0726981516444156,0.800660778884354
"CD11b+_epithelial_prop",77,61,0.2363975,0.1318726,1.26667773566525,0.978173756231545,1.64027349518284,0.0730335600175917,0.800660778884354
"NK/NKT_tumor_med_dist",57,47,0.2702983,0.1516457,1.31035524121515,0.973437399498003,1.76388420977608,0.0746786018429527,0.800660778884354
"Monocytes_assort",77,61,0.2102476,0.1199856,1.23398350920739,0.975387966268179,1.56113808418376,0.0797269295988571,0.800660778884354
"Non-leukocyte_derived_neural_cells_M1_med_dist",33,25,-0.4193343,0.2417224,0.657484382026058,0.409384079260113,1.0559416804617,0.0827804694687682,0.800660778884354
"NK/NKT_M1_med_dist",56,46,0.2879837,0.1669058,1.3337356024186,0.961610573805543,1.84986594949676,0.0844506841359107,0.800660778884354
"Other_immune_M1_contact",77,61,0.2114383,0.1229787,1.23545367831781,0.970838166979764,1.57219384567195,0.0855582158885527,0.800660778884354
"HLADR+_assort",77,61,0.2256671,0.1328843,1.25315840536205,0.965816567292557,1.62598783465872,0.0894658010121069,0.800660778884354
"CD11b+_epithelial_vascular_med_dist",57,43,0.2597204,0.1542284,1.2965675555901,0.958331433740385,1.75418166098086,0.0921818245709506,0.800660778884354
"CD11c+_epithelial_tumor_med_dist",70,54,0.2458177,0.1463334,1.27866647852795,0.959838296314126,1.70339938465633,0.0929870646720972,0.800660778884354
"Unidentified_tumor_contact",77,61,-0.2634958,0.1570492,0.768360848626874,0.564787021385217,1.04531154461487,0.0933878186631598,0.800660778884354
"Vascular_endothelial_cells_M1_med_dist",75,59,0.1857149,0.1121772,1.20407894646988,0.966428186889007,1.50016952009546,0.0978129612700229,0.800660778884354
"Unidentified_assort",77,61,0.2054697,0.129096,1.22810174088533,0.953559160733545,1.58168884330715,0.111473734838635,0.800660778884354
"CD4+_T_cells_tumor_contact",77,61,0.2229516,0.1409615,1.24976014535905,0.948069216346655,1.64745399808105,0.113729604464365,0.800660778884354
"Unidentified_M1_med_dist",76,60,-0.2147074,0.1367097,0.806777477546562,0.617143599617749,1.05468143666976,0.116290754112796,0.800660778884354
"B_cells_tumor_med_dist",61,50,0.226427,0.146531,1.25411103094081,0.941041045888467,1.67133461903619,0.122285907150835,0.800660778884354
"M1_macrophages_prop",77,61,-0.2710496,0.1758058,0.7625786427667,0.540304338312177,1.07629375736737,0.123132948432396,0.800660778884354
"CD11c+_epithelial_region",77,61,-0.2153591,0.1407382,0.806251876346367,0.611891123077662,1.06234927031215,0.125964651335836,0.800660778884354
"Non-leukocyte_derived_neural_cells_vascular_contact",77,61,-0.2517772,0.1649358,0.777417910679327,0.56267927056449,1.07410853653572,0.126881332798165,0.800660778884354
"CD11b+_epithelial_M1_med_dist",58,44,0.2469663,0.1627874,1.2801360268942,0.93044613270249,1.76124999584093,0.129238986988895,0.800660778884354
"B_cells_M1_med_dist",60,49,0.2202361,0.1453569,1.24637099687823,0.937387930981244,1.65720147498924,0.129736700282187,0.800660778884354
"M2_macrophages_tumor_med_dist",36,28,0.2940164,0.1960859,1.34180590859878,0.913652496762499,1.97059943767507,0.133763095611914,0.802578573671484
"Fibroblast_vascular_contact",77,61,-0.2183753,0.1489192,0.803823684955032,0.600344560993625,1.07626946003355,0.14253884213929,0.82140697596727
"CD56+CD45-_region",77,61,0.2326686,0.1604184,1.26196320539663,0.921506268005041,1.72820434007749,0.146950925310358,0.82140697596727
"Tumor_M1_contact",77,61,0.1759102,0.1257201,1.19233100611339,0.931930855412001,1.52549217560874,0.161746697459246,0.82140697596727
"CD56+CD45-_prop",77,61,0.2265278,0.1620916,1.25423747639666,0.912866254406542,1.72326629405371,0.162254390308642,0.82140697596727
"Dendritic_cells_M1_med_dist",28,24,-0.3061126,0.2202308,0.736303737536455,0.478185260831099,1.13375136859696,0.164540308504314,0.82140697596727
"CD4+_T_cells_assort",77,61,-0.1937496,0.1395602,0.823864184768488,0.626702967403789,1.08305246703407,0.165049775197822,0.82140697596727
"M1_macrophages_tumor_contact",77,61,0.1604128,0.1161303,1.17399539800742,0.935009652373955,1.47406520461391,0.167181438944952,0.82140697596727
"HLADR+_tumor_contact",77,61,0.1775244,0.1285613,1.19425722458071,0.928252937048369,1.5364888830822,0.167323643252592,0.82140697596727
"B_cells_region",77,61,0.1954862,0.1444517,1.2159020005593,0.916096097002794,1.61382378966691,0.175960571879536,0.844610745021773
"M1_macrophages_assort",77,61,-0.2018241,0.1566587,0.817238680481738,0.601174786961228,1.11095653936433,0.197640136515018,0.857160835640847
"ATF6",77,61,0.1633296,0.1277858,1.17742466338085,0.916561653931383,1.51253200697539,0.201196038938063,0.857160835640847
