"","n","nevent","coef","se","hazard_ratio","hr_confint_lower","hr_confint_upper","p_value","p_adjusted"
"Unidentified_M1_contact",77,61,0.3705172,0.138316,1.44848356496065,1.10453311791984,1.89953981815636,0.00738926145695931,0.8064303638618
"Non-leukocyte_derived_neural_cells_M1_contact",77,61,0.2747775,0.1196299,1.31623773769476,1.04113051889882,1.66403899480751,0.0216246962434972,0.8064303638618
"Neuroepithelial_cells_tumor_contact",77,61,0.3134768,0.1380716,1.36817374456092,1.04379322776783,1.79336227282193,0.0231837599551583,0.8064303638618
"CD11b+_epithelial_vascular_contact",77,61,0.2260776,0.1028185,1.25367299704001,1.02486114392191,1.53356968680924,0.0278918840227485,0.8064303638618
"B_cells_M1_contact",77,61,-0.3316733,0.1512027,0.717721754627862,0.533644586052763,0.965295124375468,0.0282665620744474,0.8064303638618
"B_cells_vascular_med_dist",60,49,0.2992238,0.1382703,1.34881141289635,1.02862080055579,1.76867143516486,0.030460604997823,0.8064303638618
"Dendritic_cells_vascular_contact",77,61,0.2500976,0.1188102,1.28415072958329,1.01738330605172,1.6208670679775,0.0352897021656944,0.8064303638618
"Neutrophils_M1_contact",77,61,-0.5599456,0.2718148,0.571240122179593,0.335312344111134,0.973168101081314,0.0393960162435588,0.8064303638618
"CD163+_cells_tumor_med_dist",76,60,0.2304182,0.1133964,1.25912641006063,1.00819863137293,1.57250691200924,0.0421567119217391,0.8064303638618
"CD11c+_epithelial_prop",77,61,-0.2831928,0.1410311,0.753374542706788,0.571432656281876,0.993246002585279,0.0446415307663912,0.8064303638618
"CD8+_T_cells_assort",77,61,0.2713785,0.1374184,1.31177153791525,1.00204546627769,1.71723202748136,0.0482870197752734,0.8064303638618
"Other_immune_M1_contact",77,61,0.2290924,0.1225474,1.25745820044775,0.988965311143074,1.59884387051524,0.0615645138998076,0.8064303638618
"CD11c+_epithelial_M1_med_dist",70,54,0.2345181,0.1259581,1.26429939539915,0.987720817233625,1.61832466555027,0.0626208161954373,0.8064303638618
"Monocytes_vascular_med_dist",60,49,0.272911,0.1500578,1.31378336961764,0.979026192093287,1.76300364201023,0.0689563135882633,0.8064303638618
"Vascular_endothelial_cells_tumor_med_dist",76,60,0.2047011,0.1140573,1.22715820279925,0.981329331879461,1.53456867717724,0.0726981516444156,0.8064303638618
"CD11b+_epithelial_prop",77,61,0.2363975,0.1318726,1.26667773566525,0.978173756231545,1.64027349518284,0.0730335600175917,0.8064303638618
"NK/NKT_tumor_med_dist",57,47,0.2702983,0.1516457,1.31035524121515,0.973437399498003,1.76388420977608,0.0746786018429527,0.8064303638618
"B_cells_vascular_contact",77,61,-0.3387267,0.1907963,0.712677230471074,0.490328119633253,1.03585500095694,0.0758431527470794,0.8064303638618
"Non-leukocyte_derived_neural_cells_M1_med_dist",33,25,-0.4193343,0.2417224,0.657484382026058,0.409384079260113,1.0559416804617,0.0827804694687682,0.8064303638618
"NK/NKT_M1_med_dist",56,46,0.2879837,0.1669058,1.3337356024186,0.961610573805543,1.84986594949676,0.0844506841359107,0.8064303638618
"Monocytes_assort",77,61,0.2025926,0.1191672,1.22457344197966,0.969503921612935,1.54674992165797,0.0891176530060945,0.8064303638618
"CD11b+_epithelial_vascular_med_dist",57,43,0.2597204,0.1542284,1.2965675555901,0.958331433740385,1.75418166098086,0.0921818245709506,0.8064303638618
"CD11c+_epithelial_tumor_med_dist",70,54,0.2458177,0.1463334,1.27866647852795,0.959838296314126,1.70339938465633,0.0929870646720972,0.8064303638618
"Vascular_endothelial_cells_M1_med_dist",75,59,0.1857149,0.1121772,1.20407894646988,0.966428186889007,1.50016952009546,0.0978129612700229,0.8064303638618
"HLADR+_assort",77,61,0.21189,0.1335619,1.23601191358824,0.951337445890201,1.60587124698167,0.112635946125163,0.8064303638618
"CD11c+_epithelial_region",77,61,-0.2261708,0.143143,0.797581883109179,0.602464872235441,1.0558903756556,0.114099156299077,0.8064303638618
"Unidentified_M1_med_dist",76,60,-0.2147074,0.1367097,0.806777477546562,0.617143599617749,1.05468143666976,0.116290754112796,0.8064303638618
"CD4+_T_cells_tumor_contact",77,61,0.2175615,0.1403227,1.24304185416667,0.944153982771058,1.63654772357697,0.121036775150626,0.8064303638618
"B_cells_tumor_med_dist",61,50,0.226427,0.146531,1.25411103094081,0.941041045888467,1.67133461903619,0.122285907150835,0.8064303638618
"CD56+CD45-_region",77,61,0.2483807,0.1609443,1.28194784103915,0.935134989657708,1.75738292901058,0.122765066600419,0.8064303638618
"M1_macrophages_prop",77,61,-0.2710496,0.1758058,0.7625786427667,0.540304338312177,1.07629375736737,0.123132948432396,0.8064303638618
"CD11b+_epithelial_M1_med_dist",58,44,0.2469663,0.1627874,1.2801360268942,0.93044613270249,1.76124999584093,0.129238986988895,0.8064303638618
"B_cells_M1_med_dist",60,49,0.2202361,0.1453569,1.24637099687823,0.937387930981244,1.65720147498924,0.129736700282187,0.8064303638618
"M2_macrophages_tumor_med_dist",36,28,0.2940164,0.1960859,1.34180590859878,0.913652496762499,1.97059943767507,0.133763095611914,0.8064303638618
"CD4+_T_cells_assort",77,61,-0.206718,0.1406934,0.813248922375909,0.617255581963055,1.07147481379142,0.141756886131646,0.8064303638618
"Unidentified_tumor_contact",77,61,-0.2216665,0.153417,0.801182537707283,0.593120116845675,1.08223181189806,0.148496615028162,0.8064303638618
"M1_macrophages_assort",77,61,-0.2187527,0.1527,0.803520427148603,0.595687497815649,1.0838654146891,0.151982074607243,0.8064303638618
"Dendritic_cells_M1_contact",77,61,0.1805867,0.1280649,1.19792003084075,0.932006245555445,1.53970255793111,0.158504417650687,0.8064303638618
"HLADR+_tumor_contact",77,61,0.1790382,0.1270127,1.19606648031247,0.932485109478665,1.53415321144041,0.158655210844263,0.8064303638618
"B_cells_region",77,61,0.2029899,0.1448515,1.22506006867066,0.922273056891022,1.62725362151471,0.161104980862842,0.8064303638618
"CD56+CD45-_prop",77,61,0.2265278,0.1620916,1.25423747639666,0.912866254406542,1.72326629405371,0.162254390308642,0.8064303638618
"Fibroblast_vascular_contact",77,61,-0.2085798,0.1493437,0.811736274059912,0.605749930514141,1.08776864087364,0.162521041810083,0.8064303638618
"Unidentified_assort",77,61,0.1783635,0.127842,1.19525971747546,0.930342821213591,1.53561220621438,0.162959314653747,0.8064303638618
"Dendritic_cells_M1_med_dist",28,24,-0.3061126,0.2202308,0.736303737536455,0.478185260831099,1.13375136859696,0.164540308504314,0.8064303638618
"Tumor_assort",77,61,0.1784216,0.1304672,1.19532915081106,0.925621920157512,1.54362353317599,0.17145016471337,0.8064303638618
"CD56+CD45-_assort",77,61,0.1699703,0.1317044,1.18526960221667,0.915609301158205,1.53434879720179,0.196861857608486,0.8064303638618
"Tumor_M1_contact",77,61,0.164142,0.1281628,1.17838168465146,0.916629121501165,1.51488029580375,0.200288076998533,0.8064303638618
"ATF6",77,61,0.1633296,0.1277858,1.17742466338085,0.916561653931383,1.51253200697539,0.201196038938063,0.8064303638618
"Other_immune_region",77,61,0.1736556,0.1359632,1.1896457851159,0.91135087923661,1.55292228963394,0.201522684025701,0.8064303638618
"Tumor_vascular_med_dist",76,60,0.1455863,0.1140946,1.15671758875292,0.924932063535406,1.44658795265037,0.201950524103282,0.8064303638618
"Non-leukocyte_derived_neural_cells_vascular_contact",77,61,-0.2125742,0.1668007,0.808500331588842,0.583041159612367,1.12114346543537,0.202514437943611,0.8064303638618
"CD163+_cells_tumor_contact",77,61,-0.1727272,0.1369976,0.841367103078077,0.643239929551896,1.10052030295312,0.207379106761989,0.8064303638618
"CD11b+_epithelial_region",77,61,0.2338216,0.1854703,1.26341908880564,0.878364533740552,1.81727259314633,0.207418612785402,0.8064303638618
"CD11b+_epithelial_tumor_med_dist",58,44,0.2113693,0.1692049,1.23536851500985,0.886684461843223,1.72117075865427,0.211594918604744,0.8064303638618
"M1_macrophages_tumor_med_dist",76,60,0.143488,0.1153005,1.15429291115643,0.920814328815361,1.446971537096,0.213326791554138,0.8064303638618
