"","n","nevent","coef","se","hazard_ratio","hr_confint_lower","hr_confint_upper","p_value","p_adjusted"
"CD11b+_epithelial_region",58,44,0.5141439,0.1580286,1.67220634812033,1.2268054626631,2.27931335146151,0.00113997922145213,0.24623551183366
"Unidentified_M1_contact",76,60,0.3422535,0.1360559,1.40811722309567,1.07851897795926,1.83844156152954,0.0118851748907714,0.754557129797319
"Neuroepithelial_cells_tumor_contact",51,38,0.418368,0.1746016,1.51947974833719,1.07912993118941,2.13951873530382,0.0165692644425355,0.754557129797319
"B_cells_M1_contact",60,49,-0.3904041,0.1693351,0.676783325020988,0.485636527199063,0.943165605083727,0.0211379200230121,0.754557129797319
"B_cells_assort",43,35,0.4504162,0.2043047,1.56896502152679,1.05125670542177,2.34162714594712,0.0274801059432621,0.754557129797319
"B_cells_vascular_med_dist",60,49,0.2992238,0.1382703,1.34881141289635,1.02862080055579,1.76867143516486,0.030460604997823,0.754557129797319
"CD11b+_epithelial_prop",58,44,0.29784,0.1453494,1.34694626046984,1.01304474824757,1.79090235819505,0.0404492897793048,0.754557129797319
"CD163+_cells_tumor_med_dist",76,60,0.2304182,0.1133964,1.25912641006063,1.00819863137293,1.57250691200924,0.0421567119217391,0.754557129797319
"Dendritic_cells_vascular_contact",29,25,0.428246,0.2156224,1.5345634727564,1.0056497872468,2.34165519824275,0.0470230566137502,0.754557129797319
"CD11b+_epithelial_vascular_contact",57,43,0.2553217,0.1291854,1.29087682100286,1.0021252617503,1.66282902008877,0.0481097423546415,0.754557129797319
"B_cells_vascular_contact",60,49,-0.4254807,0.2212308,0.653455599302808,0.423549421234276,1.00815677900314,0.0544494711284331,0.754557129797319
"Monocytes_assort",56,45,0.2697708,0.1421622,1.30966421260466,0.991177133641332,1.73048821604277,0.057745286361532,0.754557129797319
"CD11c+_epithelial_M1_med_dist",70,54,0.2345181,0.1259581,1.26429939539915,0.987720817233625,1.61832466555027,0.0626208161954373,0.754557129797319
"Neutrophils_M1_contact",55,41,-0.6196974,0.3334488,0.538107264382022,0.279921818226562,1.03442964830395,0.0631053491924383,0.754557129797319
"B_cells_region",61,50,0.2616299,0.1416034,1.29904566615209,0.984218166297323,1.71457884088551,0.0646567224176756,0.754557129797319
"Monocytes_vascular_med_dist",60,49,0.272911,0.1500578,1.31378336961764,0.979026192093287,1.76300364201023,0.0689563135882633,0.754557129797319
"Vascular_endothelial_cells_tumor_med_dist",76,60,0.2047011,0.1140573,1.22715820279925,0.981329331879461,1.53456867717724,0.0726981516444156,0.754557129797319
"NK/NKT_tumor_med_dist",57,47,0.2702983,0.1516457,1.31035524121515,0.973437399498003,1.76388420977608,0.0746786018429527,0.754557129797319
"CD56+CD45-_region",41,31,0.3684823,0.211206,1.44553905270798,0.955544667251324,2.18679798498033,0.0810443049244836,0.754557129797319
"Non-leukocyte_derived_neural_cells_M1_contact",33,25,0.3077452,0.1768952,1.3603543130235,0.961786186523959,1.92409070008569,0.0819111746420594,0.754557129797319
"Non-leukocyte_derived_neural_cells_M1_med_dist",33,25,-0.4193343,0.2417224,0.657484382026058,0.409384079260113,1.0559416804617,0.0827804694687682,0.754557129797319
"NK/NKT_M1_med_dist",56,46,0.2879837,0.1669058,1.3337356024186,0.961610573805543,1.84986594949676,0.0844506841359107,0.754557129797319
"Other_immune_M1_contact",63,52,0.229352,0.1329808,1.25778464351334,0.969198800697695,1.63229897552405,0.0845814781581141,0.754557129797319
"CD11b+_epithelial_vascular_med_dist",57,43,0.2597204,0.1542284,1.2965675555901,0.958331433740385,1.75418166098086,0.0921818245709506,0.754557129797319
"CD11c+_epithelial_tumor_med_dist",70,54,0.2458177,0.1463334,1.27866647852795,0.959838296314126,1.70339938465633,0.0929870646720972,0.754557129797319
"Unidentified_tumor_contact",77,61,-0.2634958,0.1570492,0.768360848626874,0.564787021385217,1.04531154461487,0.0933878186631598,0.754557129797319
"HLADR+_assort",46,37,0.2907277,0.1753196,1.33740035205031,0.948482108647346,1.88579171431616,0.097262397279697,0.754557129797319
"Vascular_endothelial_cells_M1_med_dist",75,59,0.1857149,0.1121772,1.20407894646988,0.966428186889007,1.50016952009546,0.0978129612700229,0.754557129797319
"CD11c+_epithelial_prop",70,54,-0.2331541,0.1437115,0.792031546406553,0.597606144332241,1.0497113800664,0.104722841634059,0.760337596109827
"Unidentified_assort",77,61,0.2054697,0.129096,1.22810174088533,0.953559160733545,1.58168884330715,0.111473734838635,0.760337596109827
"CD11b+_epithelial_assort",51,37,0.289762,0.182637,1.33610942280237,0.934073661269607,1.91118587721961,0.112615549392239,0.760337596109827
"Unidentified_M1_med_dist",76,60,-0.2147074,0.1367097,0.806777477546562,0.617143599617749,1.05468143666976,0.116290754112796,0.760337596109827
"B_cells_tumor_med_dist",61,50,0.226427,0.146531,1.25411103094081,0.941041045888467,1.67133461903619,0.122285907150835,0.760337596109827
"Non-leukocyte_derived_neural_cells_vascular_contact",33,25,-0.3690006,0.2395349,0.691425014643649,0.432367090749778,1.10570059817906,0.123441477353943,0.760337596109827
"CD11b+_epithelial_M1_med_dist",58,44,0.2469663,0.1627874,1.2801360268942,0.93044613270249,1.76124999584093,0.129238986988895,0.760337596109827
"B_cells_M1_med_dist",60,49,0.2202361,0.1453569,1.24637099687823,0.937387930981244,1.65720147498924,0.129736700282187,0.760337596109827
"M1_macrophages_prop",76,60,-0.2657792,0.1765403,0.766608409669882,0.542378219076918,1.08353992307579,0.132198777634852,0.760337596109827
"M2_macrophages_tumor_med_dist",36,28,0.2940164,0.1960859,1.34180590859878,0.913652496762499,1.97059943767507,0.133763095611914,0.760337596109827
"CD4+_T_cells_tumor_contact",72,57,0.2145059,0.1469727,1.23924947872957,0.929084762475382,1.65295926976543,0.144428943949049,0.799914151102425
"M1_macrophages_assort",74,59,-0.2331607,0.1638362,0.792026250338971,0.574489277488395,1.09193610012797,0.154697597706313,0.825039433816212
"M1_macrophages_tumor_contact",76,60,0.1645283,0.1174076,1.17883693865378,0.936518077483802,1.48385446191095,0.161111727597796,0.825039433816212
"Dendritic_cells_M1_med_dist",28,24,-0.3061126,0.2202308,0.736303737536455,0.478185260831099,1.13375136859696,0.164540308504314,0.825039433816212
"Monocytes_region",61,50,0.179247,0.1293588,1.19631622147901,0.928401026822321,1.54154558259413,0.165851326332794,0.825039433816212
"Tumor_M1_contact",76,60,0.1747831,0.1267966,1.19098787916018,0.928919061615486,1.52699216424694,0.168063588369969,0.825039433816212
"M2_macrophages_region",36,28,0.2877427,0.2207003,1.33341417766321,0.865176302963528,2.05506480367415,0.192311631133898,0.890013020684548
"ATF6",77,61,0.1633296,0.1277858,1.17742466338085,0.916561653931383,1.51253200697539,0.201196038938063,0.890013020684548
"Tumor_vascular_med_dist",76,60,0.1455863,0.1140946,1.15671758875292,0.924932063535406,1.44658795265037,0.201950524103282,0.890013020684548
"Tumor_assort",77,61,0.1632939,0.1299395,1.17738272774005,0.912668194288181,1.51887629727445,0.208865307916461,0.890013020684548
"CD11b+_epithelial_tumor_med_dist",58,44,0.2113693,0.1692049,1.23536851500985,0.886684461843223,1.72117075865427,0.211594918604744,0.890013020684548
"HLADR+_tumor_contact",51,41,0.1954188,0.1569205,1.21582005075824,0.893919270400301,1.65363746455965,0.213008276402784,0.890013020684548
"M1_macrophages_tumor_med_dist",76,60,0.143488,0.1153005,1.15429291115643,0.920814328815361,1.446971537096,0.213326791554138,0.890013020684548
"CD56+CD45-_prop",41,31,0.2818436,0.2270694,1.32557135954843,0.849417697374511,2.06864000442451,0.214523634556906,0.890013020684548
"CD8+_T_cells_tumor_contact",71,58,-0.1603976,0.1320787,0.851805053238477,0.657528541076175,1.10348342831638,0.224591543528016,0.890013020684548
"Fibroblast_prop",75,59,0.1625092,0.1341084,1.17645919408282,0.904531248153496,1.53013645262937,0.225598478626979,0.890013020684548
"HLADR+_M1_contact",50,40,-0.2208155,0.185296,0.801864598046825,0.557669329476851,1.15298941436134,0.233382670152509,0.890013020684548
"Neuroepithelial_cells_tumor_med_dist",51,38,-0.1998003,0.1690138,0.818894303165711,0.587980659883231,1.14049309018162,0.237144793349986,0.890013020684548
"Neuroepithelial_cells_region",51,38,-0.2998955,0.2568943,0.740895645798925,0.447804278390857,1.22581758248564,0.243053404176924,0.890013020684548
"CD163+_cells_prop",76,60,-0.1797893,0.1545274,0.835446230824452,0.617141185016974,1.13097362733875,0.244635510844245,0.890013020684548
"NK/NKT_vascular_med_dist",56,46,0.1780517,0.1532473,1.19488711353065,0.884876310929793,1.6135082343671,0.245292741287622,0.890013020684548
"H3K14Ace",77,61,-0.1441263,0.1245567,0.865778372945387,0.678240703726445,1.1051713454259,0.247225839079041,0.890013020684548
"CD11b_low_Neutrophils_M1_contact",71,56,-0.1661401,0.1473794,0.846927531258103,0.634448953836166,1.13056572773256,0.259617498849112,0.908806540634981
"Neuroepithelial_cells_M1_med_dist",51,38,-0.1790465,0.1645235,0.83606701217993,0.605617540839921,1.15420707248015,0.276474482221666,0.908806540634981
"Unidentified_vascular_med_dist",76,60,-0.1477075,0.1363399,0.862683405196634,0.660387277042891,1.12694881242136,0.278641183600475,0.908806540634981
"CD163+_cells_tumor_contact",76,60,-0.1526539,0.1410657,0.858426762105124,0.65107034037,1.13182318438821,0.27918692187114,0.908806540634981
"Fibroblast_vascular_contact",74,58,-0.1587379,0.1469827,0.853219970208587,0.639659881947768,1.13808031128359,0.28015256006175,0.908806540634981
"CBX2",77,61,-0.1521738,0.1411679,0.85883903600588,0.651252514949408,1.13259369113501,0.281050422069077,0.908806540634981
"M1_macrophages_vascular_med_dist",75,59,0.1337074,0.1242653,1.14305833662384,0.895970178165347,1.45828777873021,0.28193471906523,0.908806540634981
"M1_macrophages_region",76,60,-0.1663918,0.1563942,0.846714456083101,0.623180671924391,1.15042940585148,0.287362540684282,0.908806540634981
"Dendritic_cells_M1_contact",28,24,0.2435618,0.2303327,1.27578516166833,0.812302899912626,2.0037202611343,0.290313200480619,0.908806540634981
"M2_macrophages_vascular_contact",36,28,0.2310749,0.2211443,1.25995361894567,0.816800870511344,1.94353750002797,0.296066609225162,0.913576965609071
"Unidentified_prop",77,61,0.1272125,0.1239053,1.13565834494533,0.890798134554563,1.44782507553059,0.304565806493267,0.926566397218953
"CD4+_T_cells_assort",68,54,-0.1447004,0.1441897,0.865281493884979,0.652263300059697,1.14786783740753,0.315599403115873,0.937281950173297
"Monocytes_tumor_contact",61,50,0.1234302,0.1239946,1.13137104439071,0.887279967389709,1.44261167515294,0.319518234977631,0.937281950173297
"CD11b_low_Neutrophils_tumor_med_dist",71,56,0.139064,0.1423322,1.14919764222745,0.869443448953634,1.51896621049997,0.328550235089589,0.937281950173297
"Dendritic_cells_tumor_med_dist",29,25,-0.1859207,0.1903507,0.830339405525999,0.571779850981596,1.20581990985804,0.32870411533232,0.937281950173297
"DUSP1",77,61,-0.1255946,0.1297697,0.881972314749446,0.683903436013703,1.13740496541227,0.333130795214405,0.937281950173297
"Fibroblast_region",75,59,0.1219301,0.1262424,1.12967509226176,0.882055410877001,1.44680912144483,0.334123658163629,0.937281950173297
"Other_immune_vascular_med_dist",64,53,0.1265728,0.133485,1.13493210033995,0.873669559238634,1.4743227101841,0.343018851546813,0.949898358129636
"Other_immune_tumor_med_dist",64,53,0.1248056,0.1334001,1.13292820486027,0.872272092686709,1.47147470167766,0.349492938423761,0.95346301536035
"CD11b_low_Neutrophils_prop",71,56,0.1488922,0.1603532,1.16054786723409,0.847559490069739,1.58911718637092,0.353134450133463,0.95346301536035
"CD163+_cells_M1_med_dist",75,59,0.1292739,0.1442214,1.13800173191143,0.857790908515329,1.5097478056452,0.370062162056079,0.964462699677059
"CD11b_low_Neutrophils_tumor_contact",71,56,-0.1205563,0.1349608,0.886427192526019,0.680399887428435,1.15484023758338,0.371713169059775,0.964462699677059
"Lymphatic_endothelial_cells_tumor_contact",30,25,-0.1778531,0.2000413,0.837065345046507,0.565566747725506,1.23889601836687,0.373959041872169,0.964462699677059
"Non-leukocyte_derived_neural_cells_prop",33,25,0.23877,0.2715951,1.26968647357232,0.745614459092246,2.1621143762893,0.379325613107602,0.964462699677059
"Other_immune_tumor_contact",64,53,0.133045,0.1514016,1.14230140952228,0.848999430297969,1.53692978302544,0.379533932743287,0.964462699677059
"CD11c_low_immune_region",43,35,-0.1509895,0.1776585,0.85985674964496,0.607019906287558,1.21800557486124,0.395388407843433,0.966258837362923
"CD56+CD45-_M1_med_dist",40,30,-0.1541183,0.1851167,0.857170608887133,0.596342289269406,1.23208007542126,0.405100539158169,0.966258837362923
"CD8+_T_cells_assort",63,54,0.1310253,0.1602437,1.13999662543547,0.832729319067593,1.5606419472049,0.413549880298754,0.966258837362923
"CD4+_T_cells_M1_contact",71,56,-0.1084913,0.1374619,0.897186712011786,0.685291089980542,1.17460157877344,0.42996797048038,0.966258837362923
"Non-leukocyte_derived_neural_cells_region",33,25,-0.1839686,0.2373423,0.831961959934972,0.522489272325196,1.3247366777476,0.438269168047498,0.966258837362923
"CD8+_T_cells_region",71,58,0.09579532,0.1237721,1.10053378335793,0.863472237311728,1.40267927094321,0.43895125775786,0.966258837362923
"CD163+_cells_region",76,60,-0.0931774,0.1217629,0.911031871737882,0.717610536788109,1.15658707442767,0.44413079909043,0.966258837362923
"Fibroblast_assort",72,56,0.1004462,0.1342184,1.10566417437929,0.849916600972536,1.43836850004691,0.454231717087579,0.966258837362923
"Other_immune_assort",56,46,0.1077782,0.1447135,1.11380067179664,0.838739467729561,1.47906708128661,0.456411250915812,0.966258837362923
"Dendritic_cells_assort",23,19,-0.188825,0.2567266,0.827931387549497,0.500573994439281,1.36936874488949,0.462028894771717,0.966258837362923
"CD8+_T_cells_vascular_med_dist",70,57,-0.09156038,0.1268525,0.912506221493257,0.711637496365709,1.17007269644487,0.470425841810587,0.966258837362923
"CD8+_T_cells_prop",71,58,-0.09538431,0.1332118,0.909023518321205,0.700140211186724,1.18022610851112,0.473969765288482,0.966258837362923
"CD4+_T_cells_vascular_med_dist",71,56,0.1040178,0.1454797,1.10962019786563,0.834337617934651,1.47572991681625,0.474609801929545,0.966258837362923
"Dendritic_cells_tumor_contact",29,25,0.2218091,0.313255,1.24833302372711,0.675596397236277,2.30660693944266,0.478896602032851,0.966258837362923
"Neutrophils_vascular_contact",55,41,0.105646,0.151942,1.1114283076629,0.825179091621941,1.49697549976262,0.486864424953713,0.966258837362923
"Tumor_region",77,61,0.08342264,0.1212271,1.08700111900322,0.857119405234504,1.37853772239701,0.491357111991982,0.966258837362923
"HLADR+_region",51,41,0.1094582,0.1627716,1.11567339077079,0.810934282622975,1.53492969966433,0.501287814094166,0.966258837362923
"B_cells_prop",61,50,0.0988177,0.147982,1.10386504727314,0.825949438813185,1.47529374720835,0.504281496207395,0.966258837362923
"CD4+_T_cells_tumor_med_dist",72,57,0.08517741,0.1299744,1.08891023140763,0.844029512102868,1.40483890084604,0.512249084617994,0.966258837362923
"Neuroepithelial_cells_assort",46,35,0.1009672,0.154554,1.10624032980423,0.817133186114968,1.49763549942664,0.513575317716171,0.966258837362923
"CD4+_T_cells_prop",72,57,-0.09140077,0.1422821,0.912651869768955,0.690548864965788,1.20619043437865,0.520619147812357,0.966258837362923
"M2_macrophages_prop",36,28,-0.1310008,0.2055561,0.877217108281638,0.586323617131824,1.3124319617659,0.523929989108233,0.966258837362923
"Tumor_M1_med_dist",76,60,0.07462276,0.1177444,1.07747760607778,0.855429182695704,1.35716435104609,0.526231437384986,0.966258837362923
"Neuroepithelial_cells_vascular_med_dist",51,38,-0.099625,0.1574668,0.905176797003475,0.664809808070215,1.23245027959475,0.526947216962953,0.966258837362923
"CD11b+_epithelial_tumor_contact",58,44,0.09265092,0.1466179,1.09707869815134,0.823069362617757,1.46230891903142,0.527438432822431,0.966258837362923
"Neutrophils_M1_med_dist",55,41,0.09361904,0.1496441,1.09814131777941,0.818994413529538,1.47243294202374,0.531569939941505,0.966258837362923
"CD11c+_epithelial_M1_contact",70,54,-0.08853608,0.1427038,0.915270089429564,0.691957703324468,1.21065107387291,0.534982385533836,0.966258837362923
"CD11c_low_immune_M1_contact",43,35,0.1035296,0.1686454,1.10907858668642,0.796913395949917,1.54352445033269,0.539288540791265,0.966258837362923
"Non-leukocyte_derived_neural_cells_tumor_med_dist",33,25,-0.1409002,0.2312347,0.868575958389843,0.552052666838209,1.36658011238978,0.54229991448032,0.966258837362923
"Fibroblast_M1_med_dist",74,58,-0.08153102,0.1338827,0.921704114845612,0.708974151160283,1.19826438514438,0.542541841755512,0.966258837362923
"Dendritic_cells_region",29,25,-0.1624776,0.2695075,0.850035101832935,0.501223723843644,1.44159112981956,0.546596117250814,0.966258837362923
"NK/NKT_vascular_contact",56,46,-0.09509636,0.161262,0.909285310397358,0.662878145704695,1.24728772710626,0.555391161525658,0.966258837362923
"Other_immune_vascular_contact",64,53,-0.0800883,0.1360521,0.923034839052351,0.706985265065681,1.20510759729235,0.556089923910802,0.966258837362923
"CD56+CD45-_vascular_med_dist",41,31,0.1156902,0.1966084,1.1226480683635,0.763642815417649,1.65042957251029,0.556243816696385,0.966258837362923
"CD56+CD45-_tumor_contact",41,31,-0.1237133,0.2103552,0.883633165625963,0.585082852766977,1.33452479029519,0.556454314449795,0.966258837362923
"HLADR+_vascular_contact",51,41,-0.1011655,0.1721183,0.903783461731305,0.644995982989382,1.26640253155262,0.556688650795544,0.966258837362923
"NK/NKT_prop",57,47,-0.09717456,0.1671131,0.907397594000614,0.653959286967087,1.25905451609489,0.560910343528176,0.966258837362923
"CD163+_cells_M1_contact",75,59,-0.08273775,0.1423948,0.920592537837736,0.696403283855,1.21695379727558,0.561210173843052,0.966258837362923
"CD56+CD45-_assort",31,23,0.1235496,0.2130087,1.13150610598576,0.745321319848362,1.71779074848355,0.561900306487094,0.966258837362923
"CD11c_low_immune_tumor_med_dist",43,35,0.0892696,0.1561221,1.09337539569568,0.805152134124967,1.48477499499137,0.567461799396502,0.966258837362923
"Other_immune_region",64,53,0.07089904,0.1245291,1.07347284116843,0.840991615131115,1.37022048733098,0.569127504596273,0.966258837362923
"Non-leukocyte_derived_neural_cells_assort",27,20,-0.1375186,0.241716,0.871518104989245,0.542659444545635,1.3996693782046,0.569406044433278,0.966258837362923
