"","n","nevent","coef","se","hazard_ratio","hr_confint_lower","hr_confint_upper","p_value","p_adjusted"
"CD11c+_epithelial_tumor_med_dist",70,55,0.423223,0.1189099,1.52687478094202,1.20944769644817,1.92761258177869,0.000372001230447124,0.0803522657765788
"NK/NKT_vascular_med_dist",56,42,0.4510403,0.1490486,1.56994460619735,1.17223293461266,2.10259069998111,0.00247706578270554,0.267523104532198
"B_cells_M1_contact",77,60,-0.378302,0.1376102,0.685023612071518,0.523084078577524,0.897097366013528,0.00597622148235598,0.352121047620021
"B_cells_tumor_med_dist",61,48,0.3486365,0.13145,1.41713391324792,1.0952682109425,1.83358606413784,0.00799603670891491,0.352121047620021
"Neutrophils_prop",77,60,0.3338156,0.1304752,1.39628561813318,1.08121869394335,1.80316298481212,0.0105137103024044,0.352121047620021
"HLADR+_tumor_med_dist",51,40,0.4396546,0.1771889,1.55217105177959,1.09677132419148,2.19666116431207,0.0130912994996076,0.352121047620021
"B_cells_M1_med_dist",60,48,0.3383805,0.1406419,1.40267405441002,1.06473653083387,1.84786982125443,0.0161295129908678,0.352121047620021
"Lymphatic_endothelial_cells_region",77,60,0.2511857,0.104726,1.28554882435566,1.04699742570302,1.57845257230936,0.0164622324753262,0.352121047620021
"Vascular_endothelial_cells_tumor_med_dist",76,59,0.3243021,0.1365128,1.38306506691411,1.05838263723228,1.8073510581394,0.0175196468088238,0.352121047620021
"CD4+_T_cells_M1_med_dist",71,55,0.3158936,0.1340398,1.37148429885068,1.05461984159756,1.78355186182029,0.0184374180387641,0.352121047620021
"M1_macrophages_vascular_med_dist",75,59,0.2950432,0.1283077,1.34318437836399,1.04452753231771,1.72723477214414,0.0214767558507018,0.352121047620021
"CD163+_cells_M1_med_dist",75,59,0.2716792,0.1189195,1.31216599847526,1.03935589753031,1.65658328551926,0.0223384513912112,0.352121047620021
"NK/NKT_tumor_med_dist",57,43,0.3352021,0.1474042,1.3982229611488,1.0473835897764,1.86658208909028,0.0229639413625267,0.352121047620021
"Other_immune_vascular_contact",77,60,-0.3203021,0.1461481,0.725929675373205,0.545121181721576,0.966709625781157,0.0284064500010572,0.352121047620021
"CD4+_T_cells_tumor_med_dist",72,55,0.2897577,0.1330345,1.33610365807121,1.02943989082971,1.73412066213253,0.0294012524234379,0.352121047620021
"CD11b_low_Neutrophils_prop",77,60,0.3003045,0.1387442,1.35026994918681,1.02877726183237,1.772229036662,0.0304299783361215,0.352121047620021
"CD8+_T_cells_tumor_contact",77,60,-0.2367076,0.109803,0.789222002994025,0.636406642861307,0.978731722864249,0.0311033235695992,0.352121047620021
"NK/NKT_M1_med_dist",56,43,0.346605,0.1609402,1.41425793113995,1.03165871326001,1.93874725244351,0.0312695629618086,0.352121047620021
"CD11c+_epithelial_M1_med_dist",70,55,0.2804611,0.1328729,1.32374001766789,1.02023695150466,1.71753006180682,0.0347941132979781,0.352121047620021
"HLADR+_M1_med_dist",50,40,0.36115,0.1712942,1.43497862913491,1.0257452837638,2.00748051067626,0.0349998239097319,0.352121047620021
"Dendritic_cells_vascular_contact",77,60,0.2343827,0.1115061,1.26412818543015,1.01596071937569,1.57291521091574,0.0355557908135415,0.352121047620021
