"","m1","m2","m3","m4","m5","m6","m7","m8","m9","m10","m11","m12","m13","m14","m15"
"fold1_auc",0.4453125,0.4453125,0.4375,0.546875,0.5546875,0.453125,0.5,0.4140625,0.4140625,0.421875,0.578125,0.40625,0.515625,0.421875,0.4921875
"fold2_auc",0.592592592592593,0.462962962962963,0.212962962962963,0.462962962962963,0.638888888888889,0.148148148148148,0.5,0.314814814814815,0.481481481481481,0.425925925925926,0.305555555555556,0.453703703703704,0.453703703703704,0.574074074074074,0.481481481481481
"fold3_auc",0.544642857142857,0.580357142857143,0.508928571428571,0.642857142857143,0.535714285714286,0.571428571428571,0.660714285714286,0.517857142857143,0.660714285714286,0.696428571428571,0.553571428571429,0.633928571428571,0.616071428571429,0.571428571428571,0.678571428571428
"fold4_auc",0.648148148148148,0.259259259259259,0.333333333333333,0.222222222222222,0.296296296296296,0.296296296296296,0.296296296296296,0.240740740740741,0.277777777777778,0.296296296296296,0.305555555555556,0.333333333333333,0.296296296296296,0.314814814814815,0.287037037037037
"fold5_auc",0.453125,0.453125,0.59375,0.4375,0.5,0.640625,0.4140625,0.5,0.4296875,0.453125,0.671875,0.34375,0.40625,0.3828125,0.453125
"avg_auc",0.53676421957672,0.440203373015873,0.417294973544974,0.462483465608466,0.505117394179894,0.421924603174603,0.474214616402116,0.39749503968254,0.452744708994709,0.458730158730159,0.482936507936508,0.434193121693122,0.457589285714286,0.453000992063492,0.478480489417989
"fold1_nodesize",8,18,20,2,20,20,20,19,14,11,13,11,20,16,11
"fold2_nodesize",4,13,3,8,4,4,5,14,14,1,9,12,18,19,20
"fold3_nodesize",6,15,7,4,2,7,1,7,4,6,7,4,10,7,5
"fold4_nodesize",2,18,8,9,17,10,3,15,5,8,18,2,8,1,1
"fold5_nodesize",1,2,1,1,20,16,9,4,14,9,6,14,3,5,9
"fold1_mtry",5,11,3,6,8,2,2,3,4,6,2,10,2,2,3
"fold2_mtry",8,3,3,2,7,5,5,8,2,8,2,2,2,2,3
"fold3_mtry",2,3,11,10,12,12,2,8,3,3,9,7,5,3,3
"fold4_mtry",2,3,5,4,3,2,2,2,5,11,3,4,12,2,5
"fold5_mtry",4,9,2,5,3,4,2,8,2,8,12,3,2,6,7
