"","Min.","1st Qu.","Median","Mean","3rd Qu.","Max.","NA's"
"CD8+ T cells_tumor_contact",0.0741859887466168,0.249768903892951,0.345969073065127,0.369132404236722,0.456506342191494,0.953192204319931,0
"CD11b_low Neutrophils_vascular_contact",0.0418015148204622,0.200725862718861,0.293079568841057,0.32414781748116,0.408996613422133,1.15045721362004,0
"Other immune_tumor_contact",0.0724450495299089,0.202221448874182,0.29245617160502,0.322942443863117,0.410795442285958,0.98296700199165,0
"CD11b+ epithelial_M1_contact",0.0620259910808874,0.200451843686276,0.265451032121597,0.307745659287094,0.37209281978771,1.26096430339361,0
"B cells_M1_contact",0.0290523194853286,0.168480376366364,0.247375963230652,0.27185063495935,0.342775593900422,0.818971833895973,0
"Monocytes_tumor_med_dist",0.0465489287495166,0.173220812216223,0.247297199120651,0.272394648924455,0.342505915003173,0.932193901577047,0
"CD11c+ epithelial_tumor_med_dist",0.0631965062984258,0.180197050228714,0.24660660329685,0.264592362708227,0.329637819326628,0.775831388990385,0
"NK/NKT_vascular_contact",0.0419916607686434,0.163159006567147,0.231343766530223,0.258195945389891,0.322439914529703,0.967917583277996,0
"CD11c+ epithelial_vascular_contact",0.0266171255725521,0.157303444622111,0.22198195749572,0.250422805612429,0.306233489201069,0.670893595860735,0
"CBX2",0.0473595110771581,0.154964644798549,0.218288345780253,0.250968358918869,0.319210299013639,0.801357715463162,0
"CD11b+ epithelial_tumor_contact",0.0337067669172932,0.141118600753712,0.212946170788231,0.254962457568774,0.322066605586451,0.916256981623592,0
"Neutrophils_tumor_contact",0.0337319031210224,0.149175787663365,0.208640616456053,0.222375876815921,0.271937952641122,0.692107225996851,0
"CD11b_low Neutrophils_M1_med_dist",0.0551156129651114,0.146939202487477,0.202774621925877,0.22316161536844,0.27312859232387,0.860269223980417,0
"CD4+ T cells_vascular_contact",0.0233533596837945,0.141073378713022,0.199702658026738,0.226272100421189,0.291450375749801,0.661998842373109,0
"Age",0.0519072364873384,0.148773392083938,0.193530100354243,0.21480949219551,0.265801191335263,0.606609363086828,0
"Neuroepithelial cells_M1_contact",0.0337070268488291,0.136084569342879,0.189667602746049,0.20815545501455,0.261357109505616,0.590051456985665,0
"Other immune_vascular_contact",0.0384273181768463,0.135850083584058,0.18920726831081,0.216203199618998,0.268047208723224,1.24518747718504,0
"NK/NKT_tumor_med_dist",0.0469370085796556,0.13697796133363,0.18645799806411,0.208628875358849,0.257943794609812,0.706612287535708,0
"CD4+ T cells_M1_med_dist",0.0422117007450561,0.136429452915454,0.184582851495235,0.199925490287913,0.239079911053164,0.637278945774252,0
"Vascular endothelial cells_tumor_contact",0.0323878837021252,0.138601940349656,0.182813874915012,0.20648675951376,0.244641801342731,0.735857352273259,0
"CD163+ cells_tumor_contact",0.0425059951159951,0.127283202562001,0.179964513597675,0.202443153259025,0.246285744831784,0.766052475215922,0
"Unidentified_M1_contact",0.0482105076338836,0.139889168785029,0.179853599692576,0.190205246234895,0.227678956419734,0.583493604749254,0
"Monocytes_M1_med_dist",0.0300462650804722,0.131969495277581,0.177325249645861,0.203717667782422,0.255887871590014,1.02679827885037,0
"CD11c+ epithelial_M1_med_dist",0.0263988152749022,0.131832245315833,0.171174131161471,0.188718643397288,0.22799186299943,0.716295881257925,0
"CD11b_low Neutrophils_M1_contact",0.024971560456331,0.12197334184911,0.169348943765513,0.188872608562179,0.230491310945145,0.731101800235849,0
"NK/NKT_vascular_med_dist",0.0319487202863215,0.117825396955348,0.162151737045223,0.191286666880127,0.245940070758725,1.14221501966147,0
