"","Min.","1st Qu.","Median","Mean","3rd Qu.","Max.","NA's"
"CD8+ T cells_tumor_contact",0.0680274986676818,0.252076159505451,0.340004995339219,0.364758114705907,0.46065957419715,1.08441360814706,0
"CD11c+ epithelial_vascular_contact",0.0455232537865463,0.206003861821154,0.296118787001664,0.326939388051563,0.422563155435205,1.23284879943088,0
"Monocytes_tumor_med_dist",0.0375469352585465,0.183547519042834,0.268160961158462,0.288137284949145,0.357732741844165,0.802967993478916,0
"CD163+ cells_tumor_contact",0.0567671512113617,0.175311881214451,0.258439053578454,0.278298705018259,0.34749551439245,0.877481570141995,0
"CD11c+ epithelial_tumor_med_dist",0.0645109945448775,0.176218916366342,0.24320132044626,0.266392582818004,0.326657920882721,0.857608862516933,0
"NK/NKT_vascular_contact",0.0551332150225254,0.159337609592779,0.229250068810195,0.258845115960717,0.323167619189991,0.946386440075814,0
"CBX2",0.0250411255411255,0.153696437720677,0.227029401378184,0.251259234895977,0.317040004274552,0.967459081111008,0
"Other immune_tumor_contact",0.0621302584712815,0.15688049713842,0.222473565886252,0.246507948903261,0.312170827679816,1.00094349180927,0
"CD11b_low Neutrophils_M1_med_dist",0.0237310369625887,0.145353624767377,0.20511293219539,0.22699466416827,0.276899320890018,0.738090517236703,0
"CD11b_low Neutrophils_vascular_contact",0.0443821386800334,0.145539853122726,0.204011600596063,0.235113949869048,0.293390963120859,0.953033612165401,0
"CD11b+ epithelial_M1_contact",0.0621431876116087,0.150500721966126,0.203888229996275,0.235656340664167,0.291249712044595,0.864461717397839,0
"M1 macrophages_assort",0.060776120256555,0.147781227798737,0.202973056346846,0.228332996544204,0.279124205199031,0.927074662693595,0
"Age",0.0451546647049086,0.145518420697768,0.200837317885441,0.228001043241814,0.285635773981551,0.699548313819903,0
"Unidentified_M1_contact",0.075672334682861,0.153986380605951,0.196928602087844,0.210074305557148,0.245737756923239,0.556277981136442,0
"CD4+ T cells_vascular_contact",0.0308735902856833,0.141589281759648,0.195744132422794,0.224760121908415,0.278548170491889,0.797438974398604,0
"Monocytes_M1_med_dist",0.0507423092344183,0.129905383827595,0.188089400063605,0.210948834719724,0.264487734344296,0.818145064967041,0
"NK/NKT_tumor_med_dist",0.0294559869816953,0.137941169102038,0.18651647323886,0.206212568490654,0.262801966531,0.594826132955754,0
"Neuroepithelial cells_M1_contact",0.0269455215579055,0.13002795008968,0.181891545954696,0.20362048653532,0.259960378234738,0.694111196343058,0
"CD11c+ epithelial_tumor_contact",0.0471149447044184,0.135675173899326,0.176966670609205,0.197415669596591,0.237302915902433,0.619159000011688,0
"CD11c+ epithelial_M1_med_dist",0.0310759094706463,0.131562719338977,0.176526920781376,0.192140039975426,0.242019466199912,0.603981526745769,0
"CD4+ T cells_M1_med_dist",0.0451678948125953,0.12747583589223,0.171021124246845,0.192816920030867,0.240606243553995,0.603364176759022,0
"Neutrophils_tumor_contact",0.040675052802615,0.118366398456481,0.169266661978034,0.189585338981758,0.246625477438979,0.717368846347206,0
