"","Min.","1st Qu.","Median","Mean","3rd Qu.","Max.","NA's"
"CD8+ T cells_tumor_contact",0.0796036816125051,0.239462430284628,0.330037688722066,0.342700965705665,0.420470476349106,1.01036195167485,0
"Monocytes_tumor_med_dist",0.045506535493492,0.223528252374233,0.313460364121391,0.347333593606415,0.442305795027287,1.01281839596938,0
"Other immune_tumor_contact",0.066273746883728,0.202212927468993,0.282406514372082,0.320995271449191,0.410049825175435,1.06537202372341,0
"CD11b+ epithelial_M1_contact",0.0712524327968587,0.167456264322934,0.224948135077528,0.251971231529594,0.31052444465754,0.998448090559255,0
"Age",0.0305226240266283,0.149449114406073,0.210989921079692,0.236413370838281,0.293609921042475,0.918871217605384,0
"CD163+ cells_vascular_contact",0.0334298596733379,0.141983099037083,0.203529074562202,0.229233455824829,0.280311956438659,1.09431181266798,0
"CD11b_low Neutrophils_vascular_contact",0.0316099058647446,0.132789546769642,0.20300199299848,0.230802109836514,0.293627879918368,0.775926688839893,0
"CD4+ T cells_vascular_contact",0.0365473068155677,0.128815610118086,0.19338936208965,0.218566103201889,0.280054585748324,1.05727993920123,0
"Monocytes_tumor_contact",0.0607878611129086,0.149528075254561,0.192792872513938,0.210406220073776,0.253576315560119,0.725813504654138,0
"CD11b+ epithelial_tumor_contact",0.0105666666666667,0.123439674846437,0.187528373184272,0.220592597470883,0.282537417386066,0.687408533716225,0
"CBX2",0.049643603062722,0.136642148562292,0.187121319661164,0.214764049752079,0.261120144023105,1.07120103577401,0
"CD11c+ epithelial_tumor_med_dist",0.0359659102196826,0.137589565262067,0.186971633254223,0.206810387495379,0.250944823730875,0.586252869115693,0
"Unidentified_M1_contact",0.0552526005029453,0.136364954376697,0.177011469700297,0.195012980918681,0.23602265258962,0.5822811640191,0
"Neutrophils_tumor_contact",0.0325456075533662,0.121952593460862,0.172881838482628,0.187825518919362,0.237557049547637,0.653253108790484,0
"Monocytes_M1_med_dist",0.0271147867458212,0.124756990945868,0.171353538138077,0.196358540262323,0.24603939740453,0.869797923549096,0
"CD11c+ epithelial_vascular_contact",0.0249569601753745,0.119139763629756,0.169449243897627,0.18594401156285,0.237244692048565,0.734658591213756,0
"M1 macrophages_tumor_med_dist",0.0455459428950301,0.118914857569545,0.165981200368231,0.181124384561857,0.216988354491508,0.647002009846585,0
"CD11b_low Neutrophils_M1_med_dist",0.0317422332569391,0.115706301187437,0.161730083135517,0.171766766234159,0.210649058707339,0.557228912621119,0
"Neuroepithelial cells_M1_contact",0.0194766492766493,0.109814009849797,0.160685433552703,0.180242704551104,0.234533460491054,0.549018251046808,0
"CD163+ cells_tumor_contact",0.036015807015807,0.114721279025972,0.15386005382225,0.179609034264043,0.224606921141803,0.589943191182316,0
"Neutrophils_vascular_contact",0.0281173222912353,0.1072700392825,0.151311967996076,0.172833473383839,0.221155358914134,0.651969110433483,0
"NK/NKT_tumor_med_dist",0.0319623943024266,0.111071021733703,0.150726935109198,0.166992155734595,0.203028836501086,0.479023858682525,0
