"","m1","m2","m3","m4","m5","m6","m7","m8","m9","m10","m11","m12","m13","m14","m15"
"fold1_auc",0.90625,0.703125,0.703125,0.4140625,0.71875,0.734375,0.53125,0.6953125,0.625,0.65625,0.6875,0.578125,0.671875,0.6640625,0.640625
"fold2_auc",0.592592592592593,0.5,0.583333333333333,0.546296296296296,0.537037037037037,0.611111111111111,0.537037037037037,0.685185185185185,0.592592592592593,0.555555555555556,0.657407407407407,0.555555555555556,0.601851851851852,0.62962962962963,0.648148148148148
"fold3_auc",0.553571428571429,0.696428571428571,0.660714285714286,0.714285714285714,0.625,0.553571428571429,0.75,0.642857142857143,0.678571428571429,0.678571428571429,0.642857142857143,0.732142857142857,0.571428571428571,0.705357142857143,0.714285714285714
"fold4_auc",0.657407407407407,0.833333333333333,0.888888888888889,0.814814814814815,0.824074074074074,0.861111111111111,0.833333333333333,0.925925925925926,0.814814814814815,0.796296296296296,0.888888888888889,0.777777777777778,0.833333333333333,0.814814814814815,0.814814814814815
"fold5_auc",0.793650793650794,0.698412698412698,0.817460317460317,0.761904761904762,0.698412698412698,0.825396825396825,0.785714285714286,0.777777777777778,0.69047619047619,0.761904761904762,0.825396825396825,0.746031746031746,0.809523809523809,0.761904761904762,0.746031746031746
"avg_auc",0.700694444444444,0.686259920634921,0.730704365079365,0.650272817460317,0.680654761904762,0.717113095238095,0.687466931216931,0.745411706349206,0.680291005291005,0.689715608465608,0.740410052910053,0.677926587301587,0.697602513227513,0.71515376984127,0.712781084656085
"fold1_nodesize",4,11,3,7,12,1,1,5,8,5,9,1,2,6,1
"fold2_nodesize",1,8,10,6,5,15,1,3,4,12,8,8,16,8,1
"fold3_nodesize",5,6,12,14,2,8,15,9,13,4,1,7,10,1,10
"fold4_nodesize",4,5,2,3,10,1,18,4,16,5,1,18,5,7,1
"fold5_nodesize",7,16,7,1,13,13,11,5,17,9,9,12,11,8,19
"fold1_mtry",5,4,2,2,3,9,12,6,11,3,2,6,3,8,2
"fold2_mtry",10,4,12,5,11,6,3,6,3,2,7,5,7,7,12
"fold3_mtry",12,2,2,4,10,2,11,2,12,7,2,4,7,5,9
"fold4_mtry",4,6,7,2,2,3,6,10,11,9,10,2,4,4,6
"fold5_mtry",2,5,10,7,2,11,4,12,11,8,7,4,5,12,5
