"","Min.","1st Qu.","Median","Mean","3rd Qu.","Max.","NA's"
"Vascular endothelial cells_tumor_med_dist",0.150013074527694,0.477145959653774,0.599219380030083,0.630817550998075,0.768050535178571,1.32361455160429,0
"Unidentified_M1_contact",0.0816316812458748,0.372708894890091,0.512864330199269,0.537925807997791,0.678840598931165,1.47488899140682,0
"Vascular endothelial cells_M1_med_dist",0.0938612966516181,0.37728793942692,0.503608965806925,0.524237539806655,0.649405303731431,1.32912181087785,0
"Vascular endothelial cells_prop",0.0788588104917346,0.349455641620699,0.452021101970728,0.496312961353238,0.605859634374158,1.69719378392676,0
"B cells_vascular_med_dist",0.0821559590277856,0.274451254212155,0.375737027109457,0.404469681345126,0.497766999031538,1.18200017771368,0
"CD4+ T cells_prop",0.0537092352092352,0.225462718459133,0.320264227794178,0.345730580626387,0.426515141427078,1.00928502470156,0
"CD163+ cells_tumor_med_dist",0.0509576503978853,0.221649352575671,0.303000827966521,0.329642336511827,0.403373546860564,0.91567899853045,0
"M1 macrophages_prop",0.0327314246537776,0.214810520769021,0.296282590192144,0.329163753507282,0.402343640125441,1.05208680769744,0
"CD11c+ epithelial_tumor_med_dist",0.0623997536764746,0.202400908301664,0.292617240022133,0.306615451198279,0.384226388198955,0.791603232533258,0
"CD4+ T cells_region",0.0553645837450526,0.205662705416935,0.291503653618737,0.328234717040585,0.431232398528566,1.0535639374942,0
"CD11c+ epithelial_M1_med_dist",0.0442011942248784,0.192950193618236,0.287900616127273,0.319168682992975,0.403258315318199,1.01344063476363,0
"M1 macrophages_tumor_med_dist",0.0566115159559121,0.1941761289319,0.272281234966694,0.303622221471929,0.376853520645205,1.02485195903575,0
"CD163+ cells_prop",0.0524138912594985,0.185385068496887,0.25874331495487,0.281079988084781,0.352138779119087,0.901129686695357,0
"Vascular endothelial cells_region",0.0829082518052701,0.188580069874028,0.257196731121938,0.284397048811027,0.358352897210312,0.819574201628071,0
"CD4+ T cells_tumor_med_dist",0.0624148208358735,0.183056739376151,0.256448045441826,0.28280539981051,0.367224377367148,0.976055877188627,0
"Age",0.0548754944969779,0.185637752897858,0.241874770952827,0.260987101651055,0.318200486947579,0.786959594735014,0
"CD4+ T cells_assort",0.037781753823549,0.163982251479653,0.23841752740592,0.259243345553784,0.330722638695823,0.704397920320678,0
"M1 macrophages_tumor_contact",0.0412739269901509,0.151476198019027,0.209801654367903,0.231529542952117,0.281252317978606,1.00791825007462,0
"CD163+ cells_vascular_med_dist",0.0505552374953224,0.141914482567011,0.204346901201276,0.229690703915863,0.290034112476403,0.927351125354836,0
"B cells_prop",0.0169861111111111,0.129412932087007,0.192675421404812,0.221129198526496,0.287251290771014,0.755670255783358,0
"NK/NKT_vascular_contact",0.0387073128497519,0.13347697803402,0.190417910608608,0.212732429069546,0.25679431326884,0.776680047096765,0
"Neutrophils_M1_contact",0.0376331956931957,0.121870400257727,0.174230915762718,0.20232571714343,0.253244970785594,0.640606123384937,0
"CD11c+ epithelial_tumor_contact",0.0348051552831604,0.131213569676851,0.173277355788671,0.193716945933632,0.242326999251952,0.502266950494382,0
"CD11b+ epithelial_vascular_contact",0.0424937402632628,0.125255587921699,0.171783182602646,0.197304404320057,0.244798834268187,0.629357243504494,0
"Neuroepithelial cells_tumor_contact",0.027521348826612,0.121367871910558,0.170166432905757,0.190204690084349,0.241485309539306,0.708494323895385,0
"CD4+ T cells_M1_med_dist",0.0361810119584049,0.121942287260267,0.170039657556814,0.194509916275397,0.241350549572009,0.779885933223834,0
"CD163+ cells_tumor_contact",0.0525603125097087,0.128181783392769,0.16722237548596,0.188078717518202,0.220289880927292,0.865327684768017,0
"Fibroblast_tumor_med_dist",0.0317289042112571,0.123489138893248,0.165745794959405,0.178359165097887,0.221477233830274,0.469082508399631,0
"M1 macrophages_assort",0.032708825296613,0.118378783550434,0.165301308565001,0.189087524551766,0.240042315347375,0.564252344993844,0
"B cells_vascular_contact",0.0335821164530298,0.120020534657462,0.16472169145457,0.180455484596181,0.222475527263927,0.675862420262428,0
"M1 macrophages_region",0.0250125676181404,0.113439790169123,0.164293924775558,0.188998776477941,0.244608010504308,0.765291050715408,0
"Unidentified_tumor_med_dist",0.026234683299157,0.125076864467263,0.16373782643277,0.185162354621892,0.222210597273333,0.605296840625163,0
"CD4+ T cells_tumor_contact",0.0286631233611743,0.113279576554128,0.161612414171655,0.190062381851935,0.238307058927616,0.730846792958282,0
"Vascular endothelial cells_assort",0.0462371450642075,0.126716641648274,0.161366111024278,0.171908777166681,0.209279680174821,0.457707704733501,0
"B cells_assort",0.0398593663646295,0.123887877014769,0.160984903946498,0.184300107347081,0.229352406940585,0.580179268514232,0
"NK/NKT_prop",0.0104631339031339,0.107098979504655,0.160346616828007,0.177798094179118,0.218744955904618,0.641695042384426,0
"CD8+ T cells_M1_med_dist",0.0364154423059546,0.114582335414685,0.15581521033142,0.166225584934604,0.212960167327138,0.384703011727985,0
"CD163+ cells_vascular_contact",0.0218046928916494,0.103481127524844,0.150502367658823,0.168733357447123,0.216877805099316,0.486501848665134,0
"Other immune_tumor_med_dist",0.0269464545561227,0.104782277489814,0.147172741140942,0.163802686855558,0.206210778033717,0.516568387310647,0
"CD11b_low Neutrophils_M1_contact",0.026536026272578,0.107635980928234,0.14423985304392,0.165144104651211,0.200449511231322,0.82072158070957,0
"NK/NKT_vascular_med_dist",0.0325400621118012,0.0999908694851751,0.141513437767348,0.157835219893067,0.196066282042628,0.680778814245232,0
"CD11c+ epithelial_M1_contact",0.0375916659210777,0.106210774885989,0.141249324462127,0.156873984318046,0.192860790784762,0.516698817480865,0
"Fibroblast_M1_contact",0.0414524959742351,0.108499676691443,0.140206313572896,0.148463359686436,0.183212267393846,0.439629929558127,0
"Other immune_M1_contact",0.0239064491064491,0.0940824934363975,0.139564555364459,0.156227694588157,0.206300982475919,0.487048297616512,0
"B cells_region",0.0213598196917346,0.092559646871324,0.136929668211599,0.157895028747895,0.197042032249098,0.701280586842375,0
"CD8+ T cells_prop",0.0194384196806777,0.100770244664941,0.136906471143026,0.14927447044489,0.185966393470211,0.518217807352706,0
"B cells_tumor_med_dist",0.0154816243688111,0.0943355720056973,0.13475601752473,0.151020246071644,0.186089230002667,0.474031986894469,0
"CD4+ T cells_vascular_med_dist",0.0162201243201243,0.0983694313648887,0.134745028661331,0.149500106882655,0.179587788785056,0.530600891951864,0
"Tumor_M1_med_dist",0.00981818181818182,0.100607369745569,0.132561622880088,0.140408254223805,0.170078584886653,0.399593821624787,0
"B cells_M1_contact",0.0300762683710052,0.0962278985462431,0.131475573786304,0.144206869202038,0.180503587464425,0.456839168573335,0
"Fibroblast_vascular_contact",0.0302360306360306,0.090061111747181,0.130668884300473,0.145718496442329,0.17832278061947,0.477844991466952,0
"CD11b+ epithelial_M1_contact",0.0242949776401789,0.0913741118567226,0.129900947672884,0.14749429013318,0.189567242119922,0.537601265296787,0
"CD11b_low Neutrophils_vascular_med_dist",0.036171994478951,0.102071880438099,0.128796446396321,0.132673388021639,0.15727740680362,0.326242213623616,0
"CD8+ T cells_assort",0.025298458585036,0.0911243405496403,0.127882980904984,0.141398562383059,0.175511949010016,0.601852177734244,0
"H3K14Ace",0.0247548259088582,0.0939526397445589,0.12504746652627,0.133746156307121,0.167817484941954,0.411230128105405,0
"CD11c+ epithelial_vascular_med_dist",0.0317874725274725,0.0904477142270307,0.124523236267193,0.133774546550961,0.160617215122037,0.414893061136931,0
"Other immune_vascular_med_dist",0.02014,0.0828426821591847,0.123978192911552,0.140185416469348,0.185092539392949,0.424033720666452,0
"CD163+ cells_M1_contact",0.0264049261083744,0.0909673591547168,0.12366944751034,0.141299536495974,0.175035434839481,0.715439112618235,0
"Unidentified_prop",0.0313455689076063,0.0942468395434978,0.122987644399962,0.129937914119395,0.163295174301594,0.318475192673237,0
"Neuroepithelial cells_vascular_med_dist",0.0264153846153846,0.0901921535810142,0.121915275316115,0.13511317169975,0.166078583375859,0.40874269622717,0
"Neutrophils_tumor_contact",0.0258811188811189,0.089524414270831,0.121710060086369,0.134593064616771,0.167321201176913,0.497433797043439,0
"Other immune_tumor_contact",0.0222493985486851,0.0872533576198752,0.12159454311101,0.140074063929383,0.180459321696723,0.549826227125255,0
"CD8+ T cells_tumor_med_dist",0.0318431638737366,0.0849156832759954,0.118601054022467,0.128636574219092,0.156449134225457,0.39334487473091,0
"CD11c+ epithelial_prop",0.0217537122375832,0.0830550766123932,0.118038673405566,0.125916205248534,0.157002324624724,0.372998283964428,0
"Unidentified_tumor_contact",0.0302476591439251,0.0893691124889103,0.116682046186974,0.130181754276186,0.151253252538561,0.431735988729433,0
"M1 macrophages_vascular_med_dist",0.00533333333333333,0.0873979707751623,0.116235735151414,0.129951693717148,0.153140492656719,0.410259751346367,0
"CD11b_low Neutrophils_prop",0.0308887496519075,0.0877690208808434,0.115286161395861,0.12192031873338,0.149588419501731,0.363919249890259,0
"Neuroepithelial cells_M1_med_dist",0.0194757742257742,0.0820054409427768,0.113849216094675,0.12628450408263,0.158008147642612,0.40078961705964,0
"Unidentified_region",0.0130755487649605,0.0844733023351314,0.113492922188393,0.117211218706695,0.141122330049722,0.489034262749931,0
"CD163+ cells_M1_med_dist",0.0274720945720946,0.0842251133575909,0.113439845862074,0.120805236724674,0.14680051617605,0.434568235328251,0
"Vascular endothelial cells_M1_contact",0.0247366357069144,0.0856705372037314,0.112903340611695,0.120211664894567,0.146138358265289,0.333259041442795,0
"ATF6",0.0271046176046176,0.0797348350027182,0.111239102693237,0.118350140548827,0.148191245177767,0.288518785641999,0
"Tumor_vascular_med_dist",0.0168898148148148,0.0817236693984595,0.110958215827698,0.119562996145871,0.149494856046459,0.304470513237211,0
"B cells_M1_med_dist",0.0247850815850816,0.08034966983263,0.110760554504639,0.128038395260759,0.156182601013635,0.54632827608571,0
"NK/NKT_M1_med_dist",0.0160737373737374,0.0814612967376283,0.110665994891218,0.125516179333388,0.159213118158595,0.467852367629426,0
"Unidentified_M1_med_dist",0.0287892531007224,0.084627601468725,0.110474013846,0.118273926322332,0.144463962945301,0.355968877876769,0
"Other immune_vascular_contact",0.0263826579520697,0.0812281753780875,0.109899976507877,0.121179704177594,0.142072775013015,0.477108039665789,0
"M1 macrophages_vascular_contact",0.0226768455074337,0.0817245525432055,0.109369287582191,0.11726459787321,0.141034120692262,0.334872831784534,0
"NK/NKT_tumor_med_dist",0.0231570931790704,0.0774585907522113,0.109240383932408,0.117445343024228,0.1410376140124,0.432924126773527,0
"CD11b+ epithelial_vascular_med_dist",0.0193863802863803,0.0827492925427485,0.109064938113397,0.114460116259123,0.13798450513754,0.293241021921705,0
"Fibroblast_M1_med_dist",0.0276839659535312,0.0849119878410328,0.108550260292062,0.113484002836632,0.133664477625043,0.408894607436504,0
"Unidentified_assort",0.0177905982905983,0.0812505478852709,0.108535191816536,0.11756100999786,0.140882373123271,0.361960454923846,0
"NK/NKT_tumor_contact",0.0116029292929293,0.0769912188204899,0.108485958710958,0.121353725417375,0.152231601196234,0.486829098000045,0
"CD4+ T cells_M1_contact",0.0273647058823529,0.0760255201497097,0.107989471085275,0.125823775451559,0.155379136615484,0.603838853770311,0
"Other immune_prop",0.0217760761924445,0.0783859487471239,0.107642258098828,0.116001758567689,0.144181429880993,0.330647388271563,0
"CD11b_low Neutrophils_vascular_contact",0.0201241943241943,0.0854438834787193,0.107560214686845,0.116963923929895,0.136796967696805,0.420727471957461,0
"CD11b_low Neutrophils_tumor_med_dist",0.0220352941176471,0.079656853016744,0.10737475435798,0.117850606286163,0.14004964787811,0.473598763641667,0
"Tumor_assort",0.0168666666666667,0.0771322905501808,0.106727730091566,0.114049624945291,0.134752767790298,0.421958938403298,0
"Unidentified_vascular_med_dist",0.027202380952381,0.0824576976347544,0.106643823866748,0.113895725156336,0.135562602862675,0.312608683478068,0
"CD11b_low Neutrophils_assort",0.0245980306431919,0.0817785004738458,0.10652781667947,0.115869454836902,0.142972133536155,0.326890110005041,0
"Neutrophils_M1_med_dist",0.0273491501524209,0.0815441880244785,0.105937462903023,0.116670791348298,0.140490812261409,0.351069107345524,0
"CD11b_low Neutrophils_M1_med_dist",0.0201686147186147,0.0803894015265698,0.105807589009232,0.11131958660631,0.135315018735465,0.39820836592999,0
"CD11c+ epithelial_vascular_contact",0.0233584697036709,0.0778797637093701,0.105765272456692,0.115277702917921,0.142118803692291,0.417146763151237,0
"Other immune_assort",0.0290142672142672,0.0796565196967488,0.105425341066155,0.113472825022172,0.136493825189563,0.279356551275925,0
"Neuroepithelial cells_tumor_med_dist",0.0160990614978306,0.078084648666722,0.104660263647383,0.117974499568875,0.147799735113034,0.415920165322857,0
"CD163+ cells_region",0.00761481481481481,0.0759007915149634,0.104130943730075,0.116799611826091,0.138280005831025,0.424446620612665,0
"CD8+ T cells_vascular_med_dist",0.02505774582143,0.0785603631794541,0.103854225925703,0.110760774130103,0.135662930640711,0.295520758773819,0
"CD11c+ epithelial_assort",0.0237750198096706,0.0765912930232585,0.102354879861061,0.108516055850558,0.13208178845976,0.333097512568058,0
"Tumor_region",0.0198621348065162,0.0736079299949567,0.101495104254001,0.113931188311051,0.140979765414303,0.368088586578252,0
"Tumor_prop",0.0217165822309785,0.0779022157351529,0.100746087549633,0.110936986088698,0.129743732686398,0.360387523214216,0
"DUSP1",0.0186035203456783,0.076046108941654,0.0996631103902191,0.10371388682196,0.12819446836542,0.244035226182044,0
"Fibroblast_assort",0.0233800365496018,0.0726787561963744,0.0993398945719098,0.103032756568339,0.127362173457378,0.260781205512168,0
"Neutrophils_tumor_med_dist",0.0250558916970086,0.0762120584415701,0.0985223165592027,0.103801738052651,0.122521470258459,0.317373879276874,0
"CD11b+ epithelial_assort",0.0150839826839827,0.0765721885894051,0.0980561059434551,0.105360455539927,0.126449579135992,0.267619400445844,0
"Tumor_M1_contact",0.0242773601179174,0.0740050708760935,0.0978462565608459,0.102546566517685,0.121066545310895,0.319760724225806,0
"CD11b+ epithelial_tumor_med_dist",0.0201451851851852,0.0744464941408308,0.0947508118781547,0.101990660201547,0.122718132346087,0.327413907977693,0
"HLADR+_tumor_med_dist",0.0235261183261183,0.0698433297178789,0.093316907469801,0.101240917237521,0.123067456486056,0.310443108578155,0
"Fibroblast_prop",0.00929144518649766,0.0698100358417232,0.0928867231646574,0.101523593192169,0.125444140731948,0.332909268795607,0
"Fibroblast_vascular_med_dist",0.00955690235690236,0.0706780477433582,0.0925921568780609,0.102173229851153,0.124605979165979,0.364122019251816,0
"CD11b+ epithelial_prop",0.003,0.0647129934558251,0.0918862911894452,0.102691040439,0.128165021846588,0.359031314147443,0
"CD8+ T cells_region",0.0149098412698413,0.0645934337291536,0.0914175904309917,0.0998301040446901,0.125444393966048,0.329559898457182,0
"Neutrophils_vascular_contact",0.0032,0.0680514634813374,0.0911730514810684,0.0994763693105274,0.121209369498328,0.420391446810531,0
"HLADR+_assort",0.0212994140996811,0.0684950643081816,0.0907921396535832,0.101043326231189,0.124146758305289,0.354686807729684,0
"CD163+ cells_assort",0.0204350475934916,0.0702904675019638,0.0904289450876036,0.0938129927503456,0.109795575746877,0.240225732342721,0
"HLADR+_M1_med_dist",0.0110227272727273,0.0682198202506757,0.0898535503735999,0.0977539522172414,0.12112101539454,0.286806160803584,0
"Neutrophils_vascular_med_dist",0.0229407081807082,0.0692751379014459,0.0897237617914314,0.095734343251062,0.116074906404374,0.378705597323965,0
"CD11b_low Neutrophils_tumor_contact",0.0162041993094625,0.0689066362886934,0.0891695168890555,0.0968315336488222,0.115010853337601,0.372320902553514,0
"Monocytes_tumor_contact",0.0199487179487179,0.0663462671880893,0.0891648213807227,0.0978851237435376,0.121329761520777,0.428068910305407,0
"HLADR+_M1_contact",0.0137561403508772,0.0645430639721572,0.0891599339096351,0.101093275081524,0.128357607569529,0.472031267134761,0
"CD8+ T cells_vascular_contact",0.0102861660079051,0.0690636213079954,0.0890360321590793,0.0949722852037326,0.115293758213891,0.252752269524731,0
"Vascular endothelial cells_tumor_contact",0.0113167701863354,0.0676436614260955,0.0883177862196963,0.0956875177906731,0.11709270145155,0.29240762745012,0
"CD4+ T cells_vascular_contact",0,0.0685640014602671,0.0879264898850272,0.0939185002871061,0.11697401031176,0.219797834071619,0
"Monocytes_M1_med_dist",0.0211495157593829,0.0649500695204009,0.0878135479402195,0.0930788774264386,0.11327137766599,0.297597736698729,0
"HLADR+_vascular_med_dist",0.0129428571428571,0.0633075695200961,0.08758612331348,0.0941355469560429,0.115295449641094,0.259614009777761,0
"HLADR+_vascular_contact",0.0202917720731274,0.0664193118456963,0.0873051215136173,0.0952666600296593,0.116922211364464,0.34803572991263,0
"Monocytes_M1_contact",0.00821142857142858,0.0650799883165382,0.0871816385971201,0.0988714625802372,0.11984217716339,0.398723014079705,0
"CD11b+ epithelial_M1_med_dist",0.0240074965684722,0.0646623646885469,0.0870684785250905,0.0907086760838389,0.111105207977479,0.244342786729275,0
"Monocytes_vascular_contact",0.0141380952380952,0.0626640689825221,0.0861417107011924,0.0936289630626351,0.115016755517967,0.326210079038048,0
"CD11b+ epithelial_tumor_contact",0.0153438596491228,0.0622038372285063,0.0854134532112043,0.0980260939197521,0.118652475213778,0.434641104855833,0
"HLADR+_tumor_contact",0.0231750999000999,0.0605238840934962,0.0847857765098321,0.0959069352896356,0.119106796187527,0.318395947938054,0
"CD11c_low immune_vascular_contact",0.00496103896103897,0.0596660743039171,0.0842627240139134,0.0967005942170367,0.119263093440923,0.382803894086865,0
"B cells_tumor_contact",0.0201688169140801,0.0648426112630476,0.0834413750256822,0.0948582927713738,0.111441265889473,0.349444465313379,0
"Non-leukocyte derived neural cells_M1_med_dist",0.0100895400895401,0.0547910508189161,0.0829286814327291,0.0906885714341874,0.115385834412213,0.347050347547553,0
