"","Min.","1st Qu.","Median","Mean","3rd Qu.","Max.","NA's"
"Vascular endothelial cells_tumor_med_dist",0.201142715148173,0.475063979393874,0.620452134669527,0.643889269894398,0.778352898418967,1.45013333154664,0
"Vascular endothelial cells_M1_med_dist",0.109116919053985,0.347719497020199,0.48408587502731,0.5145262327792,0.633594326774493,1.32635207909095,0
"Vascular endothelial cells_prop",0.0953425730987372,0.354823107214924,0.471463434239637,0.504768184806223,0.623275228116253,1.31346992172748,0
"Unidentified_M1_contact",0.0728470370209501,0.323063215898961,0.440234696006842,0.465387670886949,0.595807817626276,1.29956103241771,0
"B cells_vascular_med_dist",0.0536208473592632,0.260810377009352,0.35643261686689,0.383687271430423,0.485063986529628,1.07551486818005,0
"CD4+ T cells_region",0.0690427806754886,0.224075676574219,0.319287016402624,0.354319132496435,0.449112063359328,0.995466888694148,0
"CD163+ cells_tumor_med_dist",0.0921664811830756,0.228421450462223,0.303834354466988,0.322772197416933,0.389397719627653,0.896852224164743,0
"M1 macrophages_prop",0.060271785188202,0.21375497385021,0.302848217561573,0.334507363820825,0.41460850057154,1.39420706683547,0
"CD11c+ epithelial_tumor_med_dist",0.0715194407972945,0.208641347994157,0.293359366580307,0.315073695255483,0.392478297358621,0.914107993647615,0
"CD4+ T cells_prop",0.0701392605893852,0.210089179785482,0.293078949073484,0.32140034317421,0.402286084466069,0.947343790761843,0
"CD11c+ epithelial_M1_med_dist",0.0337766837853952,0.200472412233305,0.283852877054349,0.314647432351294,0.401227062955508,1.37241835868992,0
"Vascular endothelial cells_region",0.0663964491923625,0.210062527919198,0.281842434261638,0.304064470645532,0.367390857947251,0.84987499959111,0
"M1 macrophages_tumor_med_dist",0.065028092867241,0.194121614244228,0.279313112500016,0.307802643508398,0.390289645375389,0.871437400329761,0
"CD4+ T cells_assort",0.0510476681428405,0.184274158481748,0.262347338642587,0.29594443516036,0.384621372364564,1.11051736998071,0
"CD163+ cells_prop",0.0331011560369455,0.189818209458741,0.261045985602636,0.293788131451294,0.378758423063917,0.961399798855288,0
"Age",0.0720496327141971,0.183275795968413,0.24284869100013,0.259405464982106,0.322917660647769,0.644014457152853,0
"CD4+ T cells_tumor_med_dist",0.0492473181500007,0.166982303512886,0.236872470273604,0.25941717496882,0.324395534745805,0.671622891533286,0
"M1 macrophages_assort",0.0324304330860058,0.157346517194502,0.228095885610707,0.251549714551627,0.326277615705854,0.84776896457379,0
"Vascular endothelial cells_assort",0.0523407179498404,0.167069939280646,0.219822535684454,0.232748835113918,0.288551756312467,0.679067215853239,0
"NK/NKT_vascular_contact",0.00955555555555555,0.145516172325351,0.20987532112316,0.243089613890601,0.311538265929361,0.752953767474061,0
"CD163+ cells_vascular_med_dist",0.0401431964969896,0.149997649063117,0.209393625423394,0.234261615506639,0.29234515941188,0.90382723751734,0
"CD4+ T cells_tumor_contact",0.0286816531272603,0.133280482324181,0.198729753294912,0.221844351027331,0.274959334953067,0.877135561205692,0
"M1 macrophages_region",0.0262346001824263,0.133219903997781,0.195652290404835,0.226618966316498,0.287739906021181,0.711530275945497,0
"B cells_prop",0.0311566083674438,0.124845971818343,0.185200136339995,0.208591849418455,0.264042065198674,0.778091435802946,0
"CD11b+ epithelial_vascular_contact",0.0407679694963906,0.119754481168311,0.176744741299572,0.20144576472519,0.250712295297177,0.669121547130403,0
"M1 macrophages_tumor_contact",0.0533617125096746,0.126942783179789,0.174099416328169,0.191436368375746,0.233666316268597,0.686290841204775,0
"CD11c+ epithelial_tumor_contact",0.0234072751322751,0.121028269021764,0.170992900064199,0.191888479287151,0.236956187829786,0.685075319210753,0
"CD163+ cells_tumor_contact",0.0226731934731935,0.122951721462278,0.167389712301442,0.181178489778955,0.219497593863228,0.536159669040589,0
"Neutrophils_M1_contact",0.00937188029361942,0.113227383756984,0.166556428615675,0.192787316648508,0.24225759966145,0.685269757537555,0
"B cells_assort",0.0401197823915215,0.122951074026272,0.164680375406947,0.184632980482539,0.224563700052075,0.607471086920168,0
"Unidentified_tumor_med_dist",0.0287562924299339,0.123267279536781,0.162955830383871,0.17426453812757,0.208065473861838,0.434626531261437,0
"Neuroepithelial cells_tumor_contact",0.0299697208538588,0.119304799766744,0.162166351456768,0.18576693984594,0.231768598216426,0.637179176051716,0
"Fibroblast_tumor_med_dist",0.0409077434052688,0.126521922037361,0.159614048962161,0.172967015202,0.212217904809123,0.62738837914386,0
"Other immune_M1_contact",0.0168514226743329,0.113614883206391,0.159245214152313,0.178076324089524,0.219606501921296,0.622438074157861,0
"CD4+ T cells_M1_med_dist",0.0315353823953824,0.1237930540901,0.158629777888962,0.182115752408489,0.221194530083206,0.652342375195261,0
"CD11c+ epithelial_M1_contact",0.0407730548010918,0.115161894274251,0.156244487562296,0.173265347643352,0.21484990446113,0.466014856916215,0
"NK/NKT_prop",0.0130366013071895,0.100362694761658,0.155468214365957,0.179120701846876,0.225475710876035,0.617633483474886,0
"B cells_vascular_contact",0.0395448697501329,0.11196873154867,0.153426316288101,0.167572318408022,0.19914854238333,0.619177758593184,0
"CD8+ T cells_M1_med_dist",0.0459742346864086,0.114480457519385,0.151620511282964,0.161663502013489,0.196776139383409,0.480923199106919,0
"Fibroblast_vascular_contact",0.0255414814814815,0.103773362854169,0.150160937051946,0.165794459410045,0.209270071183975,0.510665703792376,0
"CD11b_low Neutrophils_M1_contact",0.0222055951863699,0.109127699714834,0.149369251166354,0.166034672418023,0.206734291495059,0.491916491975105,0
"CD163+ cells_vascular_contact",0.031294483649343,0.103873242909367,0.148864547479438,0.170422840878539,0.214273429541433,0.720319931547187,0
"Other immune_tumor_med_dist",0.0276172362278245,0.102875532206313,0.142922426689184,0.163222191757548,0.203614418997581,0.616756637017347,0
"NK/NKT_vascular_med_dist",0.024333253968254,0.100851533021271,0.139965077236796,0.155360502085404,0.194144189140406,0.552352977750848,0
"Fibroblast_M1_contact",0.0358501507339186,0.105334034974219,0.13668087625167,0.14364878278562,0.169981978984151,0.423942177213575,0
"B cells_M1_contact",0.0320508500090351,0.0995693618190227,0.13649120427194,0.160996548122351,0.199368870785992,0.561868881264739,0
"CD11b+ epithelial_M1_contact",0.0347832436349141,0.0951577711557722,0.134848871210949,0.154003010045346,0.184756736777995,0.594796885931166,0
"CD8+ T cells_prop",0.0278608946162197,0.0966171799965152,0.132703732897598,0.14111916786177,0.174857965685926,0.429786759604271,0
"B cells_tumor_med_dist",0.0253520640614462,0.0933813729692652,0.130638573181086,0.144879478026317,0.181422776774164,0.468097484811918,0
