"","Min.","1st Qu.","Median","Mean","3rd Qu.","Max.","NA's"
"Vascular endothelial cells_tumor_med_dist",0.171533762492374,0.466145222381295,0.616188940779625,0.642203704599288,0.785123843478824,1.52777252071308,0
"Unidentified_M1_contact",0.0646374395557681,0.393269167322048,0.524886913001418,0.547108909835313,0.67887813871243,1.20137999655565,0
"Vascular endothelial cells_M1_med_dist",0.123327528661166,0.360922051071735,0.486440216696437,0.511638183408627,0.636776337619042,1.37029465042772,0
"Vascular endothelial cells_prop",0.0707704174161379,0.301064907741147,0.418750148140412,0.437928953277283,0.545932244052036,1.21151756828597,0
"B cells_vascular_med_dist",0.0436482993698511,0.281490142924757,0.388094060366672,0.42096361389365,0.526272950899344,1.20586195095018,0
"M1 macrophages_prop",0.0630458480687637,0.250437390670728,0.354665626795796,0.379073000169104,0.490549973198739,1.13694154696512,0
"CD11c+ epithelial_M1_med_dist",0.0300013512353425,0.217002965338646,0.311575007958583,0.339531531553039,0.419609435865079,1.23695884252178,0
"CD163+ cells_tumor_med_dist",0.0700169257324785,0.221287287960635,0.307915279383842,0.326534867279013,0.40682975273903,0.883042761806954,0
"CD11c+ epithelial_tumor_med_dist",0.0618261197750062,0.223859431325454,0.303826392090677,0.329802027545218,0.419251305076235,0.887518716014213,0
"CD4+ T cells_prop",0.054352851437062,0.213516425224721,0.293651816898958,0.322385539427947,0.408834134476625,1.01675188571534,0
"M1 macrophages_tumor_med_dist",0.0615343141560533,0.212052324193603,0.292963335611086,0.321850261735656,0.414758197352544,1.08464889576907,0
"CD4+ T cells_tumor_med_dist",0.0448977237815948,0.186236799770376,0.26106863347878,0.283116318934308,0.350882110812094,0.959797659668988,0
"CD163+ cells_prop",0.0459989705147426,0.183455650739805,0.254681307813779,0.279446911366406,0.356033531350566,0.797517808930024,0
"CD4+ T cells_region",0.0315157221863104,0.163854074725475,0.241116874487552,0.271014311338113,0.354927490953844,0.948074224836733,0
"Age",0.0641029037127503,0.183757924699198,0.234930938784848,0.256668204134786,0.312250966344179,0.774905130818465,0
"M1 macrophages_assort",0.0474249867608947,0.15236283998335,0.22551329888971,0.247759232173287,0.307650977665703,0.89148080130241,0
"Other immune_M1_contact",0.0412625518341308,0.142926384941427,0.212900761687524,0.236648334397734,0.30486465314009,0.769459084396167,0
"M1 macrophages_region",0.0360395335184809,0.141052409926263,0.212098124157685,0.245802981837626,0.32037868069283,1.07160862462985,0
"Vascular endothelial cells_region",0.0474739954570847,0.155328811477122,0.209026833337107,0.237659651052195,0.291853842520785,0.791097876612816,0
"CD11c+ epithelial_tumor_contact",0.0463655558371671,0.154480942726081,0.205036856056849,0.22413316485287,0.275140661991173,0.678004880891873,0
"CD163+ cells_vascular_med_dist",0.0341143079143079,0.143414700088046,0.200841730910984,0.226447943619472,0.276010985091772,0.749920386776289,0
"M1 macrophages_tumor_contact",0.035483140127846,0.149197794707016,0.198109364178543,0.22551697888833,0.276201279938974,0.765631570373442,0
"Neuroepithelial cells_tumor_contact",0.0353206626706627,0.140167257467381,0.19557447820701,0.212227799630445,0.263238202591133,0.707461121361298,0
"NK/NKT_vascular_contact",0.0162711598746082,0.124267238147163,0.185702722771382,0.210012020970307,0.254847820732456,0.755299710702748,0
"B cells_vascular_contact",0.0189108796011073,0.128055284626715,0.17675367115223,0.195282099368786,0.239621125837367,0.599035215476126,0
"Neutrophils_M1_contact",0.0286762269309638,0.122358718278808,0.175381192801614,0.198407613692138,0.239803549262328,0.656697434418755,0
"Unidentified_tumor_med_dist",0.0208243347453025,0.12865481945391,0.172413069242649,0.183380311890383,0.223885264923593,0.715168559914117,0
"CD4+ T cells_M1_med_dist",0.0270987306142116,0.120759899266117,0.170727931404738,0.188324386140453,0.23155380877595,0.633507903313431,0
"Fibroblast_tumor_med_dist",0.0502769339441462,0.123404404920111,0.170682363558092,0.185972137788956,0.238331568458718,0.518891308075463,0
"CD4+ T cells_assort",0.0195920634920635,0.112668133762242,0.165139227857366,0.186128543872042,0.234551164122487,0.684470862237847,0
