"","Min.","1st Qu.","Median","Mean","3rd Qu.","Max.","NA's"
"Vascular endothelial cells_tumor_med_dist",0.0952563329331556,0.447674698218439,0.589866575155081,0.599419140390442,0.733281526451484,1.54866324226688,0
"Vascular endothelial cells_M1_med_dist",0.0884195979852166,0.331838211277664,0.45445939952771,0.486014064307325,0.60423798794032,1.12752566308647,0
"Unidentified_M1_contact",0.0772746394356976,0.332186033643107,0.454135957415407,0.480280038433113,0.602884147324662,1.22884347515527,0
"Vascular endothelial cells_prop",0.0563246686320216,0.318565938930454,0.428923335830259,0.462407025709307,0.568618926199957,1.33652202183068,0
"M1 macrophages_tumor_med_dist",0.0545290763313054,0.223818351891918,0.315628487932937,0.339347866860766,0.412610343469489,1.17760820302273,0
"B cells_vascular_med_dist",0.0553545021557726,0.214207090870653,0.310945207112853,0.326230179651291,0.406217549239222,1.02462239181414,0
"CD4+ T cells_prop",0.0443324417128765,0.208667781807896,0.294003832206669,0.323768720999524,0.414091367822829,1.01564477014242,0
"CD163+ cells_tumor_med_dist",0.0633840508343734,0.215002393594287,0.289747266620056,0.314300214102884,0.386181549780967,0.793963778527716,0
"M1 macrophages_prop",0.0393754901960784,0.206478935985116,0.283604608601618,0.322992929073069,0.40473191747831,0.975604481069837,0
"Vascular endothelial cells_region",0.0507665947917664,0.196697731942474,0.269630023482309,0.278603672190201,0.347368966849932,0.674899298852288,0
"CD4+ T cells_region",0.0550981481481481,0.185364984714639,0.259938785517107,0.289486538555714,0.371529550763619,0.776396241032716,0
"CD163+ cells_prop",0.0278332647249898,0.182346332880696,0.254994546207598,0.279857305162135,0.35177921470942,1.05875155071666,0
"CD163+ cells_vascular_med_dist",0.0322055555555556,0.167295551184277,0.231355630731034,0.264481957741583,0.332916766149428,0.811405807726693,0
"CD4+ T cells_tumor_med_dist",0.0352551305889979,0.153296625746425,0.220313581734826,0.244648397216044,0.307590362806658,0.845496616786001,0
"CD11c+ epithelial_M1_med_dist",0.0288037106796742,0.147356168010111,0.215751579072473,0.2459735633082,0.303911853828942,1.06314931119888,0
"CD4+ T cells_assort",0.0325450131739605,0.15026741740415,0.208024926464153,0.231585375866277,0.294649269116473,0.828845627189657,0
"Age",0.0349708397723578,0.142728783331548,0.194491808884907,0.207642627538926,0.255600820194761,0.567234013671271,0
"CD11c+ epithelial_tumor_med_dist",0.0333568366915735,0.137169453766499,0.184479354208018,0.204577081684139,0.259206970982935,0.703121593619281,0
"B cells_prop",0.0328688900499245,0.118683965316268,0.178042341274802,0.202994076534151,0.262007082309063,0.824364730328477,0
"CD163+ cells_tumor_contact",0.0314194580157644,0.120823895763829,0.171318544569091,0.190971897069586,0.239836902053482,0.848049400591618,0
